timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,sensor_type,activity_type,subject_id,notes,recording_id
1695642439161,-0.040283203,-1.0281372,-0.08526611,1.3125,0.625,0.640625,Respeck,Standing,s1975761,,Respeck_s1975761_Standing_25-09-2023_12-47-49
1695642439201,-0.028320312,-0.9768677,-0.06817627,-5.015625,-9.09375,-0.109375,Respeck,Standing,s1975761,,Respeck_s1975761_Standing_25-09-2023_12-47-49
1695642439241,0.005859375,-0.9915161,-0.053771973,-6.28125,-2.109375,1.484375,Respeck,Standing,s1975761,,Respeck_s1975761_Standing_25-09-2023_12-47-49
1695642439281,-0.051757812,-1.0059204,-0.05328369,-1.234375,-0.71875,0.0625,Respeck,Standing,s1975761,,Respeck_s1975761_Standing_25-09-2023_12-47-49
1695642439321,-0.025146484,-1.0029907,-0.07305908,0.078125,-1.84375,0.140625,Respeck,Standing,s1975761,,Respeck_s1975761_Standing_25-09-2023_12-47-49
1695642439361,-0.0021972656,-0.9939575,-0.09893799,2.390625,1.25,0.609375,Respeck,Standing,s1975761,,Respeck_s1975761_Standing_25-09-2023_12-47-49
1695642439401,-0.0012207031,-0.9734497,-0.11798096,1.90625,-0.859375,-0.8125,Respeck,Standing,s1975761,,Respeck_s1975761_Standing_25-09-2023_12-47-49
1695642439441,-0.014404297,-0.97369385,-0.061584473,1.046875,-0.375,1.078125,Respeck,Standing,s1975761,,Respeck_s1975761_Standing_25-09-2023_12-47-49
1695642439481,-0.009033203,-0.9951782,-0.07891846,0.3125,6.625,1.578125,Respeck,Standing,s1975761,,Respeck_s1975761_Standing_25-09-2023_12-47-49
1695642439521,-0.024658203,-0.9939575,-0.077697754,-2.34375,1.609375,1.703125,Respeck,Standing,s1975761,,Respeck_s1975761_Standing_25-09-2023_12-47-49
1695642439561,-0.022216797,-1.0232544,-0.08013916,-1.75,5.875,1.375,Respeck,Standing,s1975761,,Respeck_s1975761_Standing_25-09-2023_12-47-49
1695642439601,0.0068359375,-0.9949341,-0.077941895,-1.65625,1.421875,2.6875,Respeck,Standing,s1975761,,Respeck_s1975761_Standing_25-09-2023_12-47-49
1695642439641,-0.0063476562,-1.000061,-0.066223145,3.640625,3.046875,1.671875,Respeck,Standing,s1975761,,Respeck_s1975761_Standing_25-09-2023_12-47-49
1695642439681,0.0073242188,-1.0186157,-0.09503174,4.0,1.03125,0.8125,Respeck,Standing,s1975761,,Respeck_s1975761_Standing_25-09-2023_12-47-49
1695642439721,-0.01977539,-0.9793091,-0.09063721,4.96875,-5.9375,0.59375,Respeck,Standing,s1975761,,Respeck_s1975761_Standing_25-09-2023_12-47-49
1695642439761,-0.018310547,-0.9873657,-0.047668457,-0.015625,-5.515625,0.0625,Respeck,Standing,s1975761,,Respeck_s1975761_Standing_25-09-2023_12-47-49
1695642439801,-0.05029297,-1.0044556,-0.105041504,-3.15625,-5.375,-0.53125,Respeck,Standing,s1975761,,Respeck_s1975761_Standing_25-09-2023_12-47-49
1695642439841,0.032470703,-0.9607544,-0.11236572,3.5,-6.140625,0.015625,Respeck,Standing,s1975761,,Respeck_s1975761_Standing_25-09-2023_12-47-49
1695642439881,-0.0053710938,-0.98101807,-0.10626221,-0.203125,-0.296875,0.828125,Respeck,Standing,s1975761,,Respeck_s1975761_Standing_25-09-2023_12-47-49
1695642439921,0.033447266,-0.9248657,-0.1494751,4.046875,-0.90625,-0.515625,Respeck,Standing,s1975761,,Respeck_s1975761_Standing_25-09-2023_12-47-49
1695642439961,-0.046875,-1.0408325,-0.09088135,2.1875,5.25,1.328125,Respeck,Standing,s1975761,,Respeck_s1975761_Standing_25-09-2023_12-47-49
