timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,sensor_type,activity_type,activity_code,subject_id,notes,ind
1696242747964,-0.7636719,0.09863281,-0.16699219,74.8125,215.3125,46.1875,0.0,0.0,0.0,Thingy,Running,-1,s2091784,,151
1696242748004,-0.9091797,-0.11621094,-0.5517578,-1024.0,268.71875,-99.5625,0.0,0.0,0.0,Thingy,Running,-1,s2091784,,152
1696242748044,-0.40234375,-0.7421875,0.2265625,180.40625,-43.375,67.375,0.0,0.0,0.0,Thingy,Running,-1,s2091784,,153
1696242748084,-0.80859375,-0.09375,-0.12597656,259.15625,-122.53125,36.4375,0.0,0.0,0.0,Thingy,Running,-1,s2091784,,154
1696242748124,-1.5751953,0.10644531,-0.43066406,130.71875,-163.65625,-241.71875,-95.5625,19.5625,-111.8125,Thingy,Running,-1,s2091784,,155
1696242748164,-1.9912109,0.44726562,-0.5732422,-404.90625,-199.125,-343.21875,0.0,0.0,0.0,Thingy,Running,-1,s2091784,,156
1696242748204,-1.7285156,0.84472656,-0.44335938,-225.96875,302.34375,-237.75,0.0,0.0,0.0,Thingy,Running,-1,s2091784,,157
1696242748244,-1.2939453,0.23144531,0.3671875,-62.75,9.625,2.0,0.0,0.0,0.0,Thingy,Running,-1,s2091784,,158
1696242748284,-0.609375,0.2998047,-0.10449219,208.65625,-40.875,74.8125,0.0,0.0,0.0,Thingy,Running,-1,s2091784,,159
1696242748324,-0.040039062,0.21289062,-0.083984375,82.03125,-14.875,81.90625,0.0,0.0,0.0,Thingy,Running,-1,s2091784,,160
1696242748364,0.0087890625,0.12792969,-0.0009765625,41.84375,67.34375,46.25,0.0,0.0,0.0,Thingy,Running,-1,s2091784,,161
1696242748404,-0.23730469,0.06933594,-0.12890625,12.375,41.53125,122.75,0.0,0.0,0.0,Thingy,Running,-1,s2091784,,162
1696242748444,-0.8095703,0.018554688,-0.17382812,-10.8125,-14.90625,77.6875,0.0,0.0,0.0,Thingy,Running,-1,s2091784,,163
1696242748484,-1.9912109,0.1484375,-0.36523438,51.75,36.46875,89.46875,0.0,0.0,0.0,Thingy,Running,-1,s2091784,,164
1696242748524,-0.8105469,0.29882812,-0.16113281,200.375,29.5,-25.9375,0.0,0.0,0.0,Thingy,Running,-1,s2091784,,165
1696242748564,-1.6962891,0.71972656,-0.6738281,195.90625,-45.625,-29.0625,0.0,0.0,0.0,Thingy,Running,-1,s2091784,,166
1696242748604,-1.2138672,0.4765625,-0.640625,-18.75,-50.1875,94.65625,-102.875,5.875,-114.8125,Thingy,Running,-1,s2091784,,167
1696242748644,-1.1972656,-0.080078125,-0.66308594,44.71875,-112.9375,119.625,0.0,0.0,0.0,Thingy,Running,-1,s2091784,,168
1696242748684,-0.9765625,0.0625,-0.40722656,237.40625,-30.96875,150.75,0.0,0.0,0.0,Thingy,Running,-1,s2091784,,169
1696242748724,-0.76660156,0.036132812,-0.22851562,166.375,116.96875,111.4375,0.0,0.0,0.0,Thingy,Running,-1,s2091784,,170
1696242748764,-0.5761719,0.89453125,1.9707031,22.375,256.625,0.0,0.0,0.0,0.0,Thingy,Running,-1,s2091784,,171
1696242748804,-0.50878906,-0.28320312,-0.25390625,-971.625,3.28125,-256.46875,0.0,0.0,0.0,Thingy,Running,-1,s2091784,,172
1696242748844,-0.421875,-0.37695312,0.03515625,310.59375,-99.03125,224.34375,0.0,0.0,0.0,Thingy,Running,-1,s2091784,,173
1696242748884,-0.7675781,-0.171875,-0.26660156,221.53125,-135.15625,-74.46875,0.0,0.0,0.0,Thingy,Running,-1,s2091784,,174
1696242748924,-1.9912109,0.22558594,-1.0390625,-99.5625,-231.34375,-364.8125,0.0,0.0,0.0,Thingy,Running,-1,s2091784,,175
1696242748964,-1.9912109,0.68359375,-0.45507812,-385.875,182.34375,-385.875,0.0,0.0,0.0,Thingy,Running,-1,s2091784,,176
1696242749004,-1.1416016,1.9960938,1.6943359,-271.125,399.25,-206.1875,0.0,0.0,0.0,Thingy,Running,-1,s2091784,,177
1696242749044,-1.2597656,0.44726562,0.043945312,209.28125,-84.9375,106.9375,0.0,0.0,0.0,Thingy,Running,-1,s2091784,,178
1696242749084,-0.21582031,0.25390625,-0.09667969,140.1875,-14.3125,96.1875,-106.0625,-2.6875,-108.1875,Thingy,Running,-1,s2091784,,179
1696242749124,0.06933594,0.18164062,-0.020507812,75.0625,54.40625,92.15625,0.0,0.0,0.0,Thingy,Running,-1,s2091784,,180
1696242749164,-0.03125,0.0625,-0.045898438,-141.90625,39.03125,102.28125,0.0,0.0,0.0,Thingy,Running,-1,s2091784,,181
1696242749204,-0.080078125,-0.043945312,-0.068359375,-63.96875,-97.375,114.6875,0.0,0.0,0.0,Thingy,Running,-1,s2091784,,182
1696242749244,-0.99121094,-0.055664062,-0.22167969,-21.0625,-62.96875,68.15625,0.0,0.0,0.0,Thingy,Running,-1,s2091784,,183
1696242749284,-1.9912109,0.29589844,-0.58691406,175.78125,88.15625,-31.9375,0.0,0.0,0.0,Thingy,Running,-1,s2091784,,184
1696242749324,-0.7138672,0.38867188,-0.25195312,277.21875,25.84375,-74.03125,0.0,0.0,0.0,Thingy,Running,-1,s2091784,,185
1696242749364,-1.9912109,0.8222656,-1.0117188,134.09375,-81.21875,49.90625,0.0,0.0,0.0,Thingy,Running,-1,s2091784,,186
1696242749404,-1.0175781,0.24804688,-0.5996094,-9.0625,-46.34375,83.0625,0.0,0.0,0.0,Thingy,Running,-1,s2091784,,187
1696242749444,-1.0595703,0.0390625,-0.6308594,62.78125,-97.6875,114.3125,0.0,0.0,0.0,Thingy,Running,-1,s2091784,,188
1696242749484,-0.85058594,0.16015625,-0.359375,224.53125,-19.8125,129.375,0.0,0.0,0.0,Thingy,Running,-1,s2091784,,189
1696242749524,-0.734375,0.08300781,-0.21875,78.28125,124.84375,62.0,0.0,0.0,0.0,Thingy,Running,-1,s2091784,,190
1696242749564,-0.44433594,0.37109375,0.9355469,-10.9375,211.9375,16.65625,0.0,0.0,0.0,Thingy,Running,-1,s2091784,,191
1696242749604,-0.42382812,-0.23242188,-0.16601562,-995.125,87.96875,-144.78125,-92.875,18.8125,-116.625,Thingy,Running,-1,s2091784,,192
1696242749644,-0.5390625,-0.21972656,-0.23339844,366.25,-144.25,216.125,0.0,0.0,0.0,Thingy,Running,-1,s2091784,,193
1696242749684,-1.0244141,0.068359375,-0.29882812,341.125,-138.9375,-148.875,0.0,0.0,0.0,Thingy,Running,-1,s2091784,,194
1696242749724,-1.9912109,0.27148438,-0.7529297,-224.8125,-237.03125,-343.34375,0.0,0.0,0.0,Thingy,Running,-1,s2091784,,195
1696242749764,-1.9912109,0.83691406,-0.578125,-371.71875,188.6875,-291.6875,0.0,0.0,0.0,Thingy,Running,-1,s2091784,,196
