timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,sensor_type,activity_type,activity_code,subject_id,notes
1696249218472,0.041015625,-0.09527588,-1.0059204,-0.296875,-0.546875,-0.328125,Respeck,Lying down on stomach,-1,s2091784,
1696249218502,0.038085938,-0.09429932,-0.99591064,-0.25,-0.375,-0.25,Respeck,Lying down on stomach,-1,s2091784,
1696249218546,0.041015625,-0.09674072,-1.0012817,-0.3125,-0.40625,-0.078125,Respeck,Lying down on stomach,-1,s2091784,
1696249218579,0.0390625,-0.093811035,-0.9990845,-0.171875,-0.375,0.03125,Respeck,Lying down on stomach,-1,s2091784,
1696249218621,0.038085938,-0.093566895,-1.0042114,-0.390625,-0.28125,-0.171875,Respeck,Lying down on stomach,-1,s2091784,
1696249218676,0.037841797,-0.08795166,-0.9902954,-0.234375,-0.203125,-0.234375,Respeck,Lying down on stomach,-1,s2091784,
1696249218705,0.03564453,-0.09527588,-1.0025024,-0.703125,-0.3125,-0.015625,Respeck,Lying down on stomach,-1,s2091784,
1696249218741,0.037841797,-0.093322754,-0.9939575,-0.609375,-0.078125,-0.1875,Respeck,Lying down on stomach,-1,s2091784,
1696249218787,0.036132812,-0.09942627,-0.9949341,-0.640625,-0.265625,-0.15625,Respeck,Lying down on stomach,-1,s2091784,
1696249218842,0.038085938,-0.09674072,-1.0007935,-0.515625,-0.4375,-0.109375,Respeck,Lying down on stomach,-1,s2091784,
1696249218864,0.036376953,-0.09918213,-0.9973755,-0.734375,-0.328125,0.015625,Respeck,Lying down on stomach,-1,s2091784,
1696249218907,0.028808594,-0.09674072,-1.0015259,-0.359375,-0.46875,-0.234375,Respeck,Lying down on stomach,-1,s2091784,
1696249218940,0.032958984,-0.09112549,-0.9990845,-0.40625,-0.609375,0.046875,Respeck,Lying down on stomach,-1,s2091784,
1696249218981,0.040283203,-0.09893799,-1.0010376,-0.453125,-0.71875,-0.046875,Respeck,Lying down on stomach,-1,s2091784,
1696249219026,0.040039062,-0.1026001,-0.9993286,-0.359375,-0.828125,-0.140625,Respeck,Lying down on stomach,-1,s2091784,
1696249219059,0.03955078,-0.097229004,-0.9981079,-0.234375,-0.6875,-0.3125,Respeck,Lying down on stomach,-1,s2091784,
1696249219101,0.035888672,-0.09429932,-0.9993286,-0.265625,-0.765625,-0.140625,Respeck,Lying down on stomach,-1,s2091784,
1696249219147,0.04248047,-0.09869385,-0.9951782,-0.578125,-0.78125,-0.0625,Respeck,Lying down on stomach,-1,s2091784,
1696249219178,0.037597656,-0.093566895,-0.99835205,-0.453125,-0.796875,-0.109375,Respeck,Lying down on stomach,-1,s2091784,
1696249219222,0.037597656,-0.09063721,-0.9998169,-0.65625,-0.875,-0.125,Respeck,Lying down on stomach,-1,s2091784,
1696249219267,0.036621094,-0.093811035,-1.0046997,-0.671875,-0.8125,-0.03125,Respeck,Lying down on stomach,-1,s2091784,
1696249219298,0.03881836,-0.10211182,-0.99298096,-0.703125,-0.78125,-0.125,Respeck,Lying down on stomach,-1,s2091784,
1696249219342,0.037841797,-0.09527588,-1.0025024,-0.609375,-0.84375,-0.0625,Respeck,Lying down on stomach,-1,s2091784,
1696249219372,0.040771484,-0.09527588,-0.9939575,-0.625,-0.796875,-0.140625,Respeck,Lying down on stomach,-1,s2091784,
1696249219435,0.0390625,-0.10015869,-1.00177,-0.6875,-0.78125,-0.21875,Respeck,Lying down on stomach,-1,s2091784,
1696249219462,0.045654297,-0.09844971,-0.9873657,-0.59375,-0.828125,0.0,Respeck,Lying down on stomach,-1,s2091784,
1696249219492,0.036376953,-0.09674072,-1.0005493,-0.8125,-0.984375,0.03125,Respeck,Lying down on stomach,-1,s2091784,
1696249219537,0.041015625,-0.10211182,-0.99713135,-0.328125,-1.0,-0.078125,Respeck,Lying down on stomach,-1,s2091784,
1696249219582,0.045898438,-0.101379395,-1.005188,-0.640625,-0.890625,-0.03125,Respeck,Lying down on stomach,-1,s2091784,
1696249219614,0.0390625,-0.10211182,-1.0012817,-0.5,-0.875,-0.1875,Respeck,Lying down on stomach,-1,s2091784,
