timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,sensor_type,activity_type,subject_id,recording_id
1695300630012,-0.9440918,-0.14996338,-0.331604,0.3125,0.546875,-0.078125,Respeck,Lying down on left,s2016022,Respeck_s2016022_Lying_down_on_left_Normal_unprocessed_21-09-2023_13-51-02
1695300630052,-0.9458008,-0.14312744,-0.32720947,-1.015625,0.171875,-0.375,Respeck,Lying down on left,s2016022,Respeck_s2016022_Lying_down_on_left_Normal_unprocessed_21-09-2023_13-51-02
1695300630092,-0.95458984,-0.15509033,-0.33258057,-2.296875,0.078125,-0.421875,Respeck,Lying down on left,s2016022,Respeck_s2016022_Lying_down_on_left_Normal_unprocessed_21-09-2023_13-51-02
1695300630132,-0.95703125,-0.16314697,-0.3477173,-1.90625,0.140625,-0.265625,Respeck,Lying down on left,s2016022,Respeck_s2016022_Lying_down_on_left_Normal_unprocessed_21-09-2023_13-51-02
1695300630172,-0.94140625,-0.1585083,-0.3279419,-0.09375,1.21875,-0.375,Respeck,Lying down on left,s2016022,Respeck_s2016022_Lying_down_on_left_Normal_unprocessed_21-09-2023_13-51-02
1695300630212,-0.951416,-0.15631104,-0.32720947,-1.3125,1.203125,-0.296875,Respeck,Lying down on left,s2016022,Respeck_s2016022_Lying_down_on_left_Normal_unprocessed_21-09-2023_13-51-02
1695300630252,-0.94506836,-0.14874268,-0.32965088,-0.484375,0.59375,-0.390625,Respeck,Lying down on left,s2016022,Respeck_s2016022_Lying_down_on_left_Normal_unprocessed_21-09-2023_13-51-02
1695300630292,-0.95581055,-0.1506958,-0.33087158,-0.953125,1.109375,-0.1875,Respeck,Lying down on left,s2016022,Respeck_s2016022_Lying_down_on_left_Normal_unprocessed_21-09-2023_13-51-02
1695300630332,-0.94555664,-0.15338135,-0.33184814,-0.546875,0.859375,-0.234375,Respeck,Lying down on left,s2016022,Respeck_s2016022_Lying_down_on_left_Normal_unprocessed_21-09-2023_13-51-02
1695300630372,-0.95947266,-0.15631104,-0.32843018,-1.125,0.828125,-0.390625,Respeck,Lying down on left,s2016022,Respeck_s2016022_Lying_down_on_left_Normal_unprocessed_21-09-2023_13-51-02
1695300630412,-0.9538574,-0.16070557,-0.32720947,-0.234375,0.65625,-0.140625,Respeck,Lying down on left,s2016022,Respeck_s2016022_Lying_down_on_left_Normal_unprocessed_21-09-2023_13-51-02
1695300630452,-0.95581055,-0.16046143,-0.32061768,0.234375,-0.4375,-0.5,Respeck,Lying down on left,s2016022,Respeck_s2016022_Lying_down_on_left_Normal_unprocessed_21-09-2023_13-51-02
1695300630492,-0.9472656,-0.15460205,-0.31793213,-0.625,-0.203125,-0.328125,Respeck,Lying down on left,s2016022,Respeck_s2016022_Lying_down_on_left_Normal_unprocessed_21-09-2023_13-51-02
1695300630532,-0.9460449,-0.15924072,-0.3267212,-0.078125,0.03125,-0.59375,Respeck,Lying down on left,s2016022,Respeck_s2016022_Lying_down_on_left_Normal_unprocessed_21-09-2023_13-51-02
1695300630572,-0.95166016,-0.15264893,-0.32818604,-0.734375,0.203125,-0.6875,Respeck,Lying down on left,s2016022,Respeck_s2016022_Lying_down_on_left_Normal_unprocessed_21-09-2023_13-51-02
1695300630612,-0.9538574,-0.16314697,-0.33673096,-0.734375,-0.015625,-0.59375,Respeck,Lying down on left,s2016022,Respeck_s2016022_Lying_down_on_left_Normal_unprocessed_21-09-2023_13-51-02
1695300630652,-0.9543457,-0.15289307,-0.32110596,0.015625,-0.09375,-0.359375,Respeck,Lying down on left,s2016022,Respeck_s2016022_Lying_down_on_left_Normal_unprocessed_21-09-2023_13-51-02
1695300630692,-0.9489746,-0.14849854,-0.32940674,-0.90625,0.21875,-0.1875,Respeck,Lying down on left,s2016022,Respeck_s2016022_Lying_down_on_left_Normal_unprocessed_21-09-2023_13-51-02
1695300630732,-0.95458984,-0.15338135,-0.32525635,-0.609375,0.078125,-0.21875,Respeck,Lying down on left,s2016022,Respeck_s2016022_Lying_down_on_left_Normal_unprocessed_21-09-2023_13-51-02
1695300630772,-0.94970703,-0.15484619,-0.32891846,-0.5,0.125,-0.125,Respeck,Lying down on left,s2016022,Respeck_s2016022_Lying_down_on_left_Normal_unprocessed_21-09-2023_13-51-02
1695300630812,-0.9494629,-0.15411377,-0.32769775,-0.6875,0.515625,-0.171875,Respeck,Lying down on left,s2016022,Respeck_s2016022_Lying_down_on_left_Normal_unprocessed_21-09-2023_13-51-02
1695300630852,-0.9511719,-0.15118408,-0.3242798,-0.71875,0.546875,-0.296875,Respeck,Lying down on left,s2016022,Respeck_s2016022_Lying_down_on_left_Normal_unprocessed_21-09-2023_13-51-02
1695300630892,-0.9448242,-0.15093994,-0.32061768,-0.46875,0.953125,-0.53125,Respeck,Lying down on left,s2016022,Respeck_s2016022_Lying_down_on_left_Normal_unprocessed_21-09-2023_13-51-02
1695300630932,-0.95092773,-0.14801025,-0.32330322,-0.3125,0.609375,-0.390625,Respeck,Lying down on left,s2016022,Respeck_s2016022_Lying_down_on_left_Normal_unprocessed_21-09-2023_13-51-02
1695300630972,-0.954834,-0.16461182,-0.31939697,-1.03125,-0.3125,-0.265625,Respeck,Lying down on left,s2016022,Respeck_s2016022_Lying_down_on_left_Normal_unprocessed_21-09-2023_13-51-02
1695300631012,-0.94140625,-0.15509033,-0.32696533,-0.75,0.953125,-0.46875,Respeck,Lying down on left,s2016022,Respeck_s2016022_Lying_down_on_left_Normal_unprocessed_21-09-2023_13-51-02
1695300631052,-0.9602051,-0.14971924,-0.315979,-0.09375,1.03125,-0.46875,Respeck,Lying down on left,s2016022,Respeck_s2016022_Lying_down_on_left_Normal_unprocessed_21-09-2023_13-51-02
1695300631092,-0.9602051,-0.15240479,-0.3237915,-0.3125,0.0625,-0.1875,Respeck,Lying down on left,s2016022,Respeck_s2016022_Lying_down_on_left_Normal_unprocessed_21-09-2023_13-51-02
1695300631132,-0.9499512,-0.1560669,-0.31427002,-0.078125,0.625,-0.1875,Respeck,Lying down on left,s2016022,Respeck_s2016022_Lying_down_on_left_Normal_unprocessed_21-09-2023_13-51-02
1695300631172,-0.95166016,-0.15362549,-0.317688,-0.78125,0.5625,0.109375,Respeck,Lying down on left,s2016022,Respeck_s2016022_Lying_down_on_left_Normal_unprocessed_21-09-2023_13-51-02
1695300631212,-0.94921875,-0.144104,-0.32061768,-0.578125,0.734375,-0.09375,Respeck,Lying down on left,s2016022,Respeck_s2016022_Lying_down_on_left_Normal_unprocessed_21-09-2023_13-51-02
1695300631252,-0.9526367,-0.14337158,-0.3267212,-1.03125,0.75,-0.0625,Respeck,Lying down on left,s2016022,Respeck_s2016022_Lying_down_on_left_Normal_unprocessed_21-09-2023_13-51-02
1695300631292,-0.9550781,-0.15020752,-0.32965088,-1.375,0.953125,-0.171875,Respeck,Lying down on left,s2016022,Respeck_s2016022_Lying_down_on_left_Normal_unprocessed_21-09-2023_13-51-02
1695300631332,-0.9560547,-0.14630127,-0.32891846,-1.359375,0.390625,-0.25,Respeck,Lying down on left,s2016022,Respeck_s2016022_Lying_down_on_left_Normal_unprocessed_21-09-2023_13-51-02
1695300631372,-0.95288086,-0.14263916,-0.32037354,-1.40625,0.6875,-0.25,Respeck,Lying down on left,s2016022,Respeck_s2016022_Lying_down_on_left_Normal_unprocessed_21-09-2023_13-51-02
1695300631412,-0.9536133,-0.14215088,-0.32086182,-1.25,0.546875,-0.234375,Respeck,Lying down on left,s2016022,Respeck_s2016022_Lying_down_on_left_Normal_unprocessed_21-09-2023_13-51-02
1695300631452,-0.95751953,-0.14434814,-0.317688,-1.171875,0.71875,-0.21875,Respeck,Lying down on left,s2016022,Respeck_s2016022_Lying_down_on_left_Normal_unprocessed_21-09-2023_13-51-02
1695300631492,-0.9555664,-0.14581299,-0.30963135,-1.09375,0.8125,-0.28125,Respeck,Lying down on left,s2016022,Respeck_s2016022_Lying_down_on_left_Normal_unprocessed_21-09-2023_13-51-02
1695300631532,-0.9519043,-0.14605713,-0.32452393,-1.125,0.546875,-0.546875,Respeck,Lying down on left,s2016022,Respeck_s2016022_Lying_down_on_left_Normal_unprocessed_21-09-2023_13-51-02
1695300631572,-0.96191406,-0.1416626,-0.3164673,-1.140625,1.125,-0.03125,Respeck,Lying down on left,s2016022,Respeck_s2016022_Lying_down_on_left_Normal_unprocessed_21-09-2023_13-51-02
1695300631612,-0.95166016,-0.1560669,-0.30914307,-1.25,0.015625,-0.03125,Respeck,Lying down on left,s2016022,Respeck_s2016022_Lying_down_on_left_Normal_unprocessed_21-09-2023_13-51-02
1695300631652,-0.9602051,-0.1506958,-0.31280518,-0.96875,0.875,-0.234375,Respeck,Lying down on left,s2016022,Respeck_s2016022_Lying_down_on_left_Normal_unprocessed_21-09-2023_13-51-02
1695300631692,-0.9592285,-0.14483643,-0.31573486,-1.25,0.734375,-0.09375,Respeck,Lying down on left,s2016022,Respeck_s2016022_Lying_down_on_left_Normal_unprocessed_21-09-2023_13-51-02
1695300631732,-0.9609375,-0.14556885,-0.31329346,-1.15625,-0.03125,0.046875,Respeck,Lying down on left,s2016022,Respeck_s2016022_Lying_down_on_left_Normal_unprocessed_21-09-2023_13-51-02
1695300631772,-0.9519043,-0.14703369,-0.31695557,-1.21875,0.578125,0.25,Respeck,Lying down on left,s2016022,Respeck_s2016022_Lying_down_on_left_Normal_unprocessed_21-09-2023_13-51-02
1695300631812,-0.9538574,-0.15386963,-0.30963135,-1.65625,0.265625,-0.15625,Respeck,Lying down on left,s2016022,Respeck_s2016022_Lying_down_on_left_Normal_unprocessed_21-09-2023_13-51-02
1695300631852,-0.9526367,-0.14434814,-0.32183838,-0.90625,0.578125,-0.484375,Respeck,Lying down on left,s2016022,Respeck_s2016022_Lying_down_on_left_Normal_unprocessed_21-09-2023_13-51-02
1695300631892,-0.9577637,-0.15679932,-0.30499268,-0.703125,0.921875,-0.328125,Respeck,Lying down on left,s2016022,Respeck_s2016022_Lying_down_on_left_Normal_unprocessed_21-09-2023_13-51-02
1695300631932,-0.95874023,-0.1585083,-0.3118286,-0.890625,0.578125,-0.421875,Respeck,Lying down on left,s2016022,Respeck_s2016022_Lying_down_on_left_Normal_unprocessed_21-09-2023_13-51-02
1695300631972,-0.9604492,-0.14776611,-0.31158447,-0.875,0.296875,-0.25,Respeck,Lying down on left,s2016022,Respeck_s2016022_Lying_down_on_left_Normal_unprocessed_21-09-2023_13-51-02
1695300632012,-0.95825195,-0.1531372,-0.31011963,-0.6875,0.15625,-0.171875,Respeck,Lying down on left,s2016022,Respeck_s2016022_Lying_down_on_left_Normal_unprocessed_21-09-2023_13-51-02
