timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,sensor_type,activity_type,subject_id,recording_id
1695301282407,0.0009765625,1.0888672,0.20703125,-122.5,12.375,94.53125,0.0,0.0,0.0,Thingy,Running,s2016022,Thingy_s2016022_Running_Normal_unprocessed_21-09-2023_14-01-49
1695301282447,0.24023438,-1.7011719,0.65527344,-123.90625,-71.375,-63.0,0.0,0.0,0.0,Thingy,Running,s2016022,Thingy_s2016022_Running_Normal_unprocessed_21-09-2023_14-01-49
1695301282487,-0.6972656,0.43847656,0.578125,130.46875,-164.125,-49.28125,0.0,0.0,0.0,Thingy,Running,s2016022,Thingy_s2016022_Running_Normal_unprocessed_21-09-2023_14-01-49
1695301282527,-1.9873047,-1.1367188,-0.3388672,193.78125,-302.3125,-55.09375,0.0,0.0,0.0,Thingy,Running,s2016022,Thingy_s2016022_Running_Normal_unprocessed_21-09-2023_14-01-49
1695301282567,-1.9873047,0.109375,0.33007812,351.3125,-162.78125,-182.28125,0.0,0.0,0.0,Thingy,Running,s2016022,Thingy_s2016022_Running_Normal_unprocessed_21-09-2023_14-01-49
1695301282607,-1.2763672,-0.10839844,-0.33203125,-87.59375,-289.5,-42.8125,0.0,0.0,0.0,Thingy,Running,s2016022,Thingy_s2016022_Running_Normal_unprocessed_21-09-2023_14-01-49
1695301282647,-0.7470703,-0.39648438,-0.25097656,295.65625,-105.96875,-110.5,0.0,0.0,0.0,Thingy,Running,s2016022,Thingy_s2016022_Running_Normal_unprocessed_21-09-2023_14-01-49
1695301282687,0.1875,0.86035156,-0.4638672,49.90625,14.28125,-22.125,0.0,0.0,0.0,Thingy,Running,s2016022,Thingy_s2016022_Running_Normal_unprocessed_21-09-2023_14-01-49
1695301282727,1.6474609,0.4404297,-1.5556641,-23.21875,178.21875,29.625,-64.375,17.3125,-41.0,Thingy,Running,s2016022,Thingy_s2016022_Running_Normal_unprocessed_21-09-2023_14-01-49
1695301282767,-0.27148438,0.06738281,-0.07324219,-141.375,96.3125,24.15625,0.0,0.0,0.0,Thingy,Running,s2016022,Thingy_s2016022_Running_Normal_unprocessed_21-09-2023_14-01-49
